Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,123.56497715395122,124.15464528488216,122.29052657504556,124.04051971435547,124.04051971435547,1170900
2022-08-02,124.66824753510228,125.07720719785594,123.43183389466141,123.54595947265625,123.54595947265625,785500
2022-08-03,123.1845489105907,124.4209624701232,120.81634173531094,124.04051971435547,124.04051971435547,997500
2022-08-04,124.1451463347207,124.92504314168234,122.57586160595277,122.68998718261719,122.68998718261719,788100
2022-08-05,122.86117688790577,122.88972279479131,121.09216512447294,122.78510284423828,122.78510284423828,731700
2022-08-08,123.74568865662583,124.34487694126925,122.8136292790531,123.4032974243164,123.4032974243164,543100
2022-08-09,123.93590165792823,126.35166602851834,123.55547340877438,126.06633758544922,126.06633758544922,997300
2022-08-10,126.39921364437515,126.82721358200814,124.91552309697768,125.79051971435547,125.79051971435547,928800
2022-08-11,126.0187869474583,127.46444049138645,125.6573699333742,126.80818939208984,126.80818939208984,1765800
2022-08-12,127.4169057916976,128.4155483139621,127.32179145151592,128.31092834472656,128.31092834472656,1080300
2022-08-15,128.19675046350133,129.59484668026928,127.62610812777159,129.40463256835938,129.40463256835938,709100
2022-08-16,129.2905095452711,130.0799119120014,129.03371250732107,129.43316650390625,129.43316650390625,649700
2022-08-17,129.4617078314715,129.73753065587715,128.11116864058366,128.3679656982422,128.3679656982422,1169100
2022-08-18,128.6152376616974,129.26198309451405,128.44404930479163,128.81497192382812,128.81497192382812,751200
2022-08-19,129.12884651496364,129.8611717,128.6723151528914,129.48074340820312,129.48074340820312,1010100
2022-08-22,128.98616707611222,129.39514124872306,127.78780497741658,128.05410766601562,128.05410766601562,827300
2022-08-23,128.01607370360892,128.01607370360892,126.73210287885972,127.33129119873047,127.33129119873047,693400
2022-08-24,127.7117061243692,127.9494774,126.91279812298804,127.69268035888672,127.69268035888672,662100
2022-08-25,127.84486522040666,128.23481361823633,126.95084284973683,128.19676208496094,128.19676208496094,581800
2022-08-26,128.40601130558204,128.57721419293836,126.65601797043342,126.70357513427734,126.70357513427734,750800
2022-08-29,126.38972416980809,127.94950347184988,125.17233615418571,126.96988677978516,126.96988677978516,814000
2022-08-30,126.32314585042435,126.96037120615404,124.48754382989392,125.02014923095703,125.02014923095703,581300
2022-08-31,124.84895615960866,125.32449875157991,123.7361882358849,123.96443939208984,123.96443939208984,1007600
2022-09-01,123.85981442143186,126.55138712439113,123.34623482837743,126.2470474243164,126.2470474243164,1147100
2022-09-02,126.32313421836938,127.36931915629201,124.3353552627423,124.72530364990234,124.72530364990234,765700
2022-09-06,125.12477041334914,126.33265271773176,124.5921650070601,124.78237915039062,124.78237915039062,796900
2022-09-07,125.52419786820863,128.74837553099474,125.52419786820863,128.6722869873047,128.6722869873047,947100
2022-09-08,128.24430966527737,129.10029495113605,127.53099584993184,128.09213256835938,128.09213256835938,922200
2022-09-09,128.00654881221425,129.14784810717848,127.44541204811462,128.87203979492188,128.87203979492188,781800
2022-09-12,129.10980613134657,129.9467656879916,128.59622654766454,129.3190460205078,129.3190460205078,824100
2022-09-13,128.52014550205894,128.88154800338438,125.60982716226856,126.47530364990234,126.47530364990234,1145000
2022-09-14,126.89378501064964,128.5962356371211,126.63698794445398,127.49297332763672,127.49297332763672,1042400
2022-09-15,126.85573881835188,126.85573881835188,124.0975832440181,124.21172332763672,124.21172332763672,1991900
2022-09-16,123.78561608202273,125.05919147156416,123.78561608202273,124.38887786865234,124.38887786865234,2116800
2022-09-19,123.78561487176044,125.5667033811175,123.5079101849442,125.34645080566406,125.34645080566406,1187300
2022-09-20,124.58039043792272,124.76231723483477,122.27263345793057,123.21105194091797,123.21105194091797,2130400
2022-09-21,123.98668782397007,124.7335944376779,121.20015104931316,121.21929931640625,121.21929931640625,1766100
2022-09-22,120.9799013952505,122.13857241926841,120.53941821102931,121.20972442626953,121.20972442626953,1288000
2022-09-23,120.02233514122287,120.7213674542916,118.81579702574467,120.32876586914062,120.32876586914062,938900
2022-09-26,119.82124350043458,120.02233318306685,116.64209780726199,117.79119110107422,117.79119110107422,1326800
2022-09-27,118.29870621040327,118.70088558249945,115.88561536640483,116.5367660522461,116.5367660522461,1333500
2022-09-28,117.94439256279276,118.633847,116.06754832411157,117.93482208251953,117.93482208251953,986100
2022-09-29,117.40814837180332,117.59966024894416,113.07033933374618,113.20439910888672,113.20439910888672,1259700
2022-09-30,113.80768449548042,114.27689377608033,110.1593293785773,110.16890716552734,110.16890716552734,2392400
2022-10-03,112.32343649040627,112.99373538822186,110.23592481558191,111.96913146972656,111.96913146972656,2087600
2022-10-04,111.98828304348194,114.30561781375381,111.27010250073441,113.59700775146484,113.59700775146484,1209100
2022-10-05,112.39047485612927,112.39047485612927,109.91035413575284,111.18392944335938,111.18392944335938,1415400
2022-10-06,110.5902182585971,110.68597419662754,105.96514143090998,106.01301574707031,106.01301574707031,1981400
2022-10-07,106.01303160718909,106.16624697552746,102.15400901212475,102.92964172363281,102.92964172363281,2693700
2022-10-10,103.13072571932064,103.81060974663312,101.7709722761166,101.84757995605469,101.84757995605469,3428400
2022-10-11,101.64649303787454,102.95836489034146,100.98576456544565,101.79013061523438,101.79013061523438,2613800
2022-10-12,101.71351357069746,101.82841777744011,98.60139801,98.63970184326172,98.63970184326172,2153000
2022-10-13,97.54807536523916,102.27848641101856,96.37025601777006,101.99121856689453,101.99121856689453,3531000
2022-10-14,102.95836064613337,103.5999408,99.29085752,100.06649017333984,100.06649017333984,2768600
2022-10-17,101.41667409244464,103.22648851513519,101.38794073331219,102.4604263305664,102.4604263305664,1947400
2022-10-18,103.87763808414356,105.45762945136447,103.59994072781052,105.22781372070312,105.22781372070312,2536400
2022-10-19,103.87764048304183,104.82563678640899,103.1977564502126,104.02127075195312,104.02127075195312,1606500
2022-10-20,103.92551703982635,103.92551703982635,100.91873491742386,101.39752197265625,101.39752197265625,2015200
2022-10-21,101.73266320126908,103.28393576449419,100.61230333623931,102.89132690429688,102.89132690429688,2774800
2022-10-24,103.37011437876973,104.0595688543694,101.73266365207559,102.939209,102.939209,2037100
2022-10-25,102.97752169183156,104.72988408395717,102.66152047901333,104.50006103515625,104.50006103515625,2279900
2022-10-26,105.2086720526547,105.3523023272577,103.85848902569994,104.5958251953125,104.5958251953125,1845000
2022-10-27,105.1224790461839,107.36320614359857,104.31812034322651,104.64369201660156,104.64369201660156,2611000
2022-10-28,104.98841427253367,109.04852604482653,104.69156866612822,108.81871032714844,108.81871032714844,1584800
2022-10-31,108.50271603291893,108.54101987258034,106.61629393742886,107.35363006591797,107.35363006591797,2481300
2022-11-01,107.88987338978653,108.71338771013683,107.04721080171885,107.75581359863281,107.75581359863281,1221600
2022-11-02,107.46854660142111,108.86660393862591,106.16624521498443,106.30987548828125,106.30987548828125,1854400
2022-11-03,105.56296983613322,107.96648294326297,104.49049148831627,107.11424255371094,107.11424255371094,978300
2022-11-04,107.30574867930082,108.27290054220563,106.22369260286581,107.62174987792969,107.62174987792969,2148900
2022-11-07,107.69836011693826,107.95690190923601,104.64369640235086,105.97472381591797,105.97472381591797,939500
2022-11-08,106.65460285515304,107.39193901874837,105.90769621046951,106.53012084960938,106.53012084960938,1471800
2022-11-09,106.53011146892194,106.83653486810977,105.82150872812076,106.07047271728516,106.07047271728516,1252900
2022-11-10,108.78041129345696,110.85834524147276,106.65459572036013,110.63810729980469,110.63810729980469,1872300
2022-11-11,111.17435507329124,111.69144598036925,108.37824036601975,109.41242218017578,109.41242218017578,1434000
2022-11-14,109.70926306258599,110.72428925889587,108.09096051467189,108.25375366210938,108.25375366210938,1886300
2022-11-15,109.3549581400143,110.33168780287195,108.25375378124085,109.62308502197266,109.62308502197266,1260100
2022-11-16,109.62308181628656,111.06901338958428,109.57520019090941,110.29338073730469,110.29338073730469,1618500
2022-11-17,109.18259848183506,109.55605911171533,108.01436418651895,108.4356918334961,108.4356918334961,1464000
